filename,filepath,pragma,resolved_solc_version,analysis_status,access_control_category,access_control_detected,slither_detectors,SWC,CWE,severity,confidence,evidence,relevance_notes
0x0000000006adbd7c01bc0738cdbfc3932600ad63.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0000000006adbd7c01bc0738cdbfc3932600ad63.sol,pragma solidity ^0.5.0;,0.5.8,SUCCESS,POTENTIAL,YES,arbitrary-send-erc20; arbitrary-send-eth,UNKNOWN,UNKNOWN,High,High; Medium,"[arbitrary-send-erc20] TokenSpender.claimTokens(IERC20,address,address,uint256) (../smartbugs-wild/contracts/0x0000000006adbd7c01bc0738cdbfc3932600ad63.sol#309-311) uses arbitrary from in transferFrom: token.safeTransferFrom(who,dest,amount) (../smartbugs-wild/contracts/0x0000000006adbd7c01bc0738cdbfc3932600ad63.sol#310) || [arbitrary-send-eth] AggregatedTokenSwap._transfer(IERC20,address,uint256,bool) (../smartbugs-wild/contracts/0x0000000006adbd7c01bc0738cdbfc3932600ad63.sol#459-471) sends eth to arbitrary user
	Dangerous calls:
	- to.send(amount) (../smartbugs-wild/contracts/0x0000000006adbd7c01bc0738cdbfc3932600ad63.sol#462)
	- to.transfer(amount) (../smartbugs-wild/contracts/0x0000000006adbd7c01bc0738cdbfc3932600ad63.sol#464)",Candidate requiring BERT/LLM/manual contextual analysis; POTENTIAL is not a vulnerability determination.
0x000000002bb43c83ece652d161ad0fa862129a2c.sol,C:\SmartContracts\smartbugs-wild\contracts\0x000000002bb43c83ece652d161ad0fa862129a2c.sol,pragma solidity ^0.4.20;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x00000000441378008ea67f4284a57932b1c000a5.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00000000441378008ea67f4284a57932b1c000a5.sol,pragma solidity ^0.4.23;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x0000000053d411becdb4a82d8603edc6d8b8b3bc.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0000000053d411becdb4a82d8603edc6d8b8b3bc.sol,pragma solidity ^0.5.0;,0.5.8,SUCCESS,POTENTIAL,YES,arbitrary-send-erc20; arbitrary-send-eth,UNKNOWN,UNKNOWN,High,High; Medium,"[arbitrary-send-erc20] TokenSpender.claimTokens(IERC20,address,address,uint256) (../smartbugs-wild/contracts/0x0000000053d411becdb4a82d8603edc6d8b8b3bc.sol#719-721) uses arbitrary from in transferFrom: token.safeTransferFrom(who,dest,amount) (../smartbugs-wild/contracts/0x0000000053d411becdb4a82d8603edc6d8b8b3bc.sol#720) || [arbitrary-send-eth] AggregatedTokenSwap._transfer(IERC20,address,uint256,bool) (../smartbugs-wild/contracts/0x0000000053d411becdb4a82d8603edc6d8b8b3bc.sol#878-890) sends eth to arbitrary user
	Dangerous calls:
	- to.send(amount) (../smartbugs-wild/contracts/0x0000000053d411becdb4a82d8603edc6d8b8b3bc.sol#881)
	- to.transfer(amount) (../smartbugs-wild/contracts/0x0000000053d411becdb4a82d8603edc6d8b8b3bc.sol#883)",Candidate requiring BERT/LLM/manual contextual analysis; POTENTIAL is not a vulnerability determination.
0x00000000bbcf7700a1b403c9eb666f350707b900.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00000000bbcf7700a1b403c9eb666f350707b900.sol,pragma solidity ^0.4.23;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x00000000e82eb0431756271f0d00cfb143685e7b.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00000000e82eb0431756271f0d00cfb143685e7b.sol,pragma solidity 0.5.6;,0.5.6,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x00000000e86b5156e8fd624255bf7a6d722a8f1f.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00000000e86b5156e8fd624255bf7a6d722a8f1f.sol,pragma solidity ^0.4.24;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x00000007b0390fc9ca72f534366f5c02d5af5334.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00000007b0390fc9ca72f534366f5c02d5af5334.sol,pragma solidity 0.4.25;,0.4.25,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x000000085824f23a070c2474442ed014c0e46b58.sol,C:\SmartContracts\smartbugs-wild\contracts\0x000000085824f23a070c2474442ed014c0e46b58.sol,pragma solidity 0.5.8;,0.5.8,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x0000000a9e27410f13dd4818488bf1e706c9a2fe.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0000000a9e27410f13dd4818488bf1e706c9a2fe.sol,pragma solidity 0.4.25;,0.4.25,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x0000000fdf9eb269b38e39e058f45d7d0ddb60f9.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0000000fdf9eb269b38e39e058f45d7d0ddb60f9.sol,pragma solidity ^0.5.6;,0.5.8,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x000000931cf36c464623bb0eefb6b0c205338d67.sol,C:\SmartContracts\smartbugs-wild\contracts\0x000000931cf36c464623bb0eefb6b0c205338d67.sol,pragma solidity ^0.4.18;,0.4.26,SUCCESS,POTENTIAL,YES,arbitrary-send-erc20,UNKNOWN,UNKNOWN,High,High,"[arbitrary-send-erc20] SafeERC20.safeTransferFrom(ERC20,address,address,uint256) (../smartbugs-wild/contracts/0x000000931cf36c464623bb0eefb6b0c205338d67.sol#562-564) uses arbitrary from in transferFrom: assert(bool)(token.transferFrom(from,to,value)) (../smartbugs-wild/contracts/0x000000931cf36c464623bb0eefb6b0c205338d67.sol#563)",Candidate requiring BERT/LLM/manual contextual analysis; POTENTIAL is not a vulnerability determination.
0x000000961d1ac83a67d0ce61612b36f18c10c9b7.sol,C:\SmartContracts\smartbugs-wild\contracts\0x000000961d1ac83a67d0ce61612b36f18c10c9b7.sol,pragma solidity ^0.4.24;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x000000c96e715a5b8cd3beaea66bdb749225fa2f.sol,C:\SmartContracts\smartbugs-wild\contracts\0x000000c96e715a5b8cd3beaea66bdb749225fa2f.sol,pragma solidity ^0.4.18;,0.4.26,SUCCESS,POTENTIAL,YES,arbitrary-send-erc20,UNKNOWN,UNKNOWN,High,High,"[arbitrary-send-erc20] SafeERC20.safeTransferFrom(ERC20,address,address,uint256) (../smartbugs-wild/contracts/0x000000c96e715a5b8cd3beaea66bdb749225fa2f.sol#562-564) uses arbitrary from in transferFrom: assert(bool)(token.transferFrom(from,to,value)) (../smartbugs-wild/contracts/0x000000c96e715a5b8cd3beaea66bdb749225fa2f.sol#563)",Candidate requiring BERT/LLM/manual contextual analysis; POTENTIAL is not a vulnerability determination.
0x000000d4e883e304c7f9574ebeecf238eb55a40f.sol,C:\SmartContracts\smartbugs-wild\contracts\0x000000d4e883e304c7f9574ebeecf238eb55a40f.sol,pragma solidity ^0.4.24;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x000000eade0fe9269d0412a6055b6f3c5d968488.sol,C:\SmartContracts\smartbugs-wild\contracts\0x000000eade0fe9269d0412a6055b6f3c5d968488.sol,pragma solidity ^0.4.23;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x00000100f2a2bd000715001920eb70d229700085.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00000100f2a2bd000715001920eb70d229700085.sol,pragma solidity ^0.4.23;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x0000010d23ccfee520c3fb5a5ba9679cb9d83cbe.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0000010d23ccfee520c3fb5a5ba9679cb9d83cbe.sol,pragma solidity ^0.4.24;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x000003ed2eb44cded8ade31c01dda60da466b2d1.sol,C:\SmartContracts\smartbugs-wild\contracts\0x000003ed2eb44cded8ade31c01dda60da466b2d1.sol,"pragma solidity ""0.4.20"";",0.4.20,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x00000b233566fcc3825f94d68d4fc410f8cb2300.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00000b233566fcc3825f94d68d4fc410f8cb2300.sol,pragma solidity ^0.4.21;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x0000610024bae4de00eb00ee7ee8321e4cc900b9.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0000610024bae4de00eb00ee7ee8321e4cc900b9.sol,pragma solidity ^0.4.23;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x00006100f7090010005f1bd7ae6122c3c2cf0090.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00006100f7090010005f1bd7ae6122c3c2cf0090.sol,pragma solidity ^0.4.23;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x0000852600ceb001e08e00bc008be620d60031f2.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0000852600ceb001e08e00bc008be620d60031f2.sol,pragma solidity ^0.4.23;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x00016fab0fa144ca8c1f7ec4cf72e70e52359005.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00016fab0fa144ca8c1f7ec4cf72e70e52359005.sol,pragma solidity ^0.5.0;,0.5.8,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x0002562b9c0a85ebb92989fc02d6486b3d0ccbeb.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0002562b9c0a85ebb92989fc02d6486b3d0ccbeb.sol,pragma solidity ^0.4.11;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x00035ee9a525989c8d566828f20fd1179627602f.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00035ee9a525989c8d566828f20fd1179627602f.sol,pragma solidity ^0.4.18;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x00059ae69c1622a7542edc15e8d17b060fe307b6.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00059ae69c1622a7542edc15e8d17b060fe307b6.sol,pragma solidity ^0.4.23;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x000621424c60951cb69e9d75d64b79813846d498.sol,C:\SmartContracts\smartbugs-wild\contracts\0x000621424c60951cb69e9d75d64b79813846d498.sol,pragma solidity ^0.4.13;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x000983ba1a675327f0940b56c2d49cd9c042dfbf.sol,C:\SmartContracts\smartbugs-wild\contracts\0x000983ba1a675327f0940b56c2d49cd9c042dfbf.sol,pragma solidity 0.4.24;,0.4.24,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x000adad69101420129a64715a1a52b7348c5e633.sol,C:\SmartContracts\smartbugs-wild\contracts\0x000adad69101420129a64715a1a52b7348c5e633.sol,pragma solidity ^0.5.0;,0.5.8,SUCCESS,POTENTIAL,YES,arbitrary-send-erc20,UNKNOWN,UNKNOWN,High,High,"[arbitrary-send-erc20] DIP_Team_Transfer.getMyTokens() (../smartbugs-wild/contracts/0x000adad69101420129a64715a1a52b7348c5e633.sol#130-140) uses arbitrary from in transferFrom: DIP_Token.transferFrom(myGrant.pool,msg.sender,amount) (../smartbugs-wild/contracts/0x000adad69101420129a64715a1a52b7348c5e633.sol#138)",Candidate requiring BERT/LLM/manual contextual analysis; POTENTIAL is not a vulnerability determination.
0x000c100050e98c91f9114fa5dd75ce6869bf4f53.sol,C:\SmartContracts\smartbugs-wild\contracts\0x000c100050e98c91f9114fa5dd75ce6869bf4f53.sol,pragma solidity ^0.5.6;,0.5.8,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x00125893df6ca0792c99601c462764ba5d80268a.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00125893df6ca0792c99601c462764ba5d80268a.sol,pragma solidity ^0.4.24;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x0013d3b508a23feeeca45c4c62cc88966fb71aed.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0013d3b508a23feeeca45c4c62cc88966fb71aed.sol,pragma solidity ^0.4.23;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x001575786dfa7b9d9d1324ec308785738f80a951.sol,C:\SmartContracts\smartbugs-wild\contracts\0x001575786dfa7b9d9d1324ec308785738f80a951.sol,pragma solidity ^0.4.16;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x00195777bed7025e78819156281192c85fb3cf9b.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00195777bed7025e78819156281192c85fb3cf9b.sol,pragma solidity ^0.4.20;,0.4.26,SUCCESS,POTENTIAL,YES,arbitrary-send-eth,UNKNOWN,UNKNOWN,High,Medium,"[arbitrary-send-eth] GAME.startRaffle(uint256) (../smartbugs-wild/contracts/0x00195777bed7025e78819156281192c85fb3cf9b.sol#1493-1532) sends eth to arbitrary user
	Dangerous calls:
	- winner.transfer(winnerPrize.add((jackpot.mul(jackpotFactor)).div(100))) (../smartbugs-wild/contracts/0x00195777bed7025e78819156281192c85fb3cf9b.sol#1517)
	- winner.transfer(winnerPrize) (../smartbugs-wild/contracts/0x00195777bed7025e78819156281192c85fb3cf9b.sol#1522)
	- bank.receiveFromGame.value(address(this).balance.sub((jackpot.add(tokenCut.add(queueFunds)))))() (../smartbugs-wild/contracts/0x00195777bed7025e78819156281192c85fb3cf9b.sol#1526)
	- bonus.receiveFromGame.value(tokenCut)() (../smartbugs-wild/contracts/0x00195777bed7025e78819156281192c85fb3cf9b.sol#1527)",Candidate requiring BERT/LLM/manual contextual analysis; POTENTIAL is not a vulnerability determination.
0x001ea8150f4965195e10e5b5568047e1555a6dcd.sol,C:\SmartContracts\smartbugs-wild\contracts\0x001ea8150f4965195e10e5b5568047e1555a6dcd.sol,pragma solidity ^0.4.11;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x001f0aa5da15585e5b2305dbab2bac425ea71007.sol,C:\SmartContracts\smartbugs-wild\contracts\0x001f0aa5da15585e5b2305dbab2bac425ea71007.sol,pragma solidity ^0.4.19;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x001f52daa8a4f7b9b26da16baf449c0d270dbe63.sol,C:\SmartContracts\smartbugs-wild\contracts\0x001f52daa8a4f7b9b26da16baf449c0d270dbe63.sol,pragma solidity ^0.4.20;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x002036ed3d00736787a31a19b1e28f7a86c72672.sol,C:\SmartContracts\smartbugs-wild\contracts\0x002036ed3d00736787a31a19b1e28f7a86c72672.sol,pragma solidity ^0.4.16;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x00214120d3469a74ca586bc9557c0ff8fb09b157.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00214120d3469a74ca586bc9557c0ff8fb09b157.sol,pragma solidity ^0.4.18;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x00223f71b749b8754963c41cba62cb61ef106e9c.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00223f71b749b8754963c41cba62cb61ef106e9c.sol,pragma solidity ^0.4.0;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x00224d9084fd7cdb4a5ce7740cb1ca0dca6be7a6.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00224d9084fd7cdb4a5ce7740cb1ca0dca6be7a6.sol,pragma solidity ^0.4.23;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x0022ee765799c1f836a36612b8c62be098fd0bbb.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0022ee765799c1f836a36612b8c62be098fd0bbb.sol,pragma solidity ^0.4.21;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x0027449bf0887ca3e431d263ffdefb244d95b555.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0027449bf0887ca3e431d263ffdefb244d95b555.sol,pragma solidity ^0.4.18;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x002842529757eab873cce9c251087e1b993f9200.sol,C:\SmartContracts\smartbugs-wild\contracts\0x002842529757eab873cce9c251087e1b993f9200.sol,pragma solidity ^0.4.18;,0.4.26,SUCCESS,POTENTIAL,YES,arbitrary-send-erc20,UNKNOWN,UNKNOWN,High,High,"[arbitrary-send-erc20] StupidCrowdsale.buyTokens(address) (../smartbugs-wild/contracts/0x002842529757eab873cce9c251087e1b993f9200.sol#90-112) uses arbitrary from in transferFrom: assert(bool)(token.transferFrom(tokenOwner,investor,tokens)) (../smartbugs-wild/contracts/0x002842529757eab873cce9c251087e1b993f9200.sol#108)",Candidate requiring BERT/LLM/manual contextual analysis; POTENTIAL is not a vulnerability determination.
0x00285f9aad90013a782fb6c85584d97f120b54d8.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00285f9aad90013a782fb6c85584d97f120b54d8.sol,pragma solidity ^0.4.16;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x002c74b0cd9354ba5464db519cae76d7cfaa070a.sol,C:\SmartContracts\smartbugs-wild\contracts\0x002c74b0cd9354ba5464db519cae76d7cfaa070a.sol,pragma solidity ^0.4.13;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x002f06abe6995fd0ea4be011c53bfc989fa53ce0.sol,C:\SmartContracts\smartbugs-wild\contracts\0x002f06abe6995fd0ea4be011c53bfc989fa53ce0.sol,pragma solidity 0.4.17;,0.4.17,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x00312b3d7f39f63b15d5b2078f2862249b09338d.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00312b3d7f39f63b15d5b2078f2862249b09338d.sol,pragma solidity ^0.4.11;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x0033fb5561719b8b697b604466d6d39308c58191.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0033fb5561719b8b697b604466d6d39308c58191.sol,pragma solidity ^0.4.16;,0.4.26,SUCCESS,DEFINITE,YES,arbitrary-send-eth; suicidal,UNKNOWN; SWC-106,UNKNOWN; CWE-284,High,Medium; High,"[arbitrary-send-eth] EncryptedToken.getEth(uint256) (../smartbugs-wild/contracts/0x0033fb5561719b8b697b604466d6d39308c58191.sol#228-230) sends eth to arbitrary user
	Dangerous calls:
	- owner.send(num) (../smartbugs-wild/contracts/0x0033fb5561719b8b697b604466d6d39308c58191.sol#229) || [suicidal] EncryptedToken.selfdestructs() (../smartbugs-wild/contracts/0x0033fb5561719b8b697b604466d6d39308c58191.sol#223-225) allows anyone to destruct the contract",Strong static evidence of an Access Control-related weakness.
0x00346fddca107aec034a367b7324f0d6419bf4b9.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00346fddca107aec034a367b7324f0d6419bf4b9.sol,pragma solidity ^0.4.16;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x0035743c08768ad6558b49d751e0215762057754.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0035743c08768ad6558b49d751e0215762057754.sol,pragma solidity ^0.4.18;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x00359e48665c081ecba0519cacff26c7ca889296.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00359e48665c081ecba0519cacff26c7ca889296.sol,pragma solidity ^0.4.13;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x0036192587fd788b75829fbf79be7f06e4f23b21.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0036192587fd788b75829fbf79be7f06e4f23b21.sol,pragma solidity 0.5.2;,0.5.2,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x00391d08b3e68e476a774ada379258264eb74485.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00391d08b3e68e476a774ada379258264eb74485.sol,pragma solidity 0.4.24;,0.4.24,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x003ad9c18bc279f40632e7e5de2fd213931215d0.sol,C:\SmartContracts\smartbugs-wild\contracts\0x003ad9c18bc279f40632e7e5de2fd213931215d0.sol,pragma solidity ^0.4.24;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x003f79d7be15dc1ad90ce00e6ea68f335e2b789b.sol,C:\SmartContracts\smartbugs-wild\contracts\0x003f79d7be15dc1ad90ce00e6ea68f335e2b789b.sol,pragma solidity ^0.4.13;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x003ffefefbc4a6f34a62a3ca7b7937a880065bcb.sol,C:\SmartContracts\smartbugs-wild\contracts\0x003ffefefbc4a6f34a62a3ca7b7937a880065bcb.sol,pragma solidity ^0.4.16;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x00409ccacd67ab9e476b7f386eb67bf40ccbbcba.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00409ccacd67ab9e476b7f386eb67bf40ccbbcba.sol,pragma solidity 0.4.24;,0.4.24,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x00416b9d728069edb0ceb04bc2b203fa7336d1f1.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00416b9d728069edb0ceb04bc2b203fa7336d1f1.sol,pragma solidity ^0.4.13;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x0042d589023cfd5a979388f5be6e4abf532ab9af.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0042d589023cfd5a979388f5be6e4abf532ab9af.sol,pragma solidity ^0.4.0;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x00430f32b8e77a456d0ab7e6f1dc1b84f4ae62e0.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00430f32b8e77a456d0ab7e6f1dc1b84f4ae62e0.sol,pragma solidity ^0.4.16;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x004904cb627fe62d46486c41a3d79f3cdf6b0460.sol,C:\SmartContracts\smartbugs-wild\contracts\0x004904cb627fe62d46486c41a3d79f3cdf6b0460.sol,pragma solidity ^0.4.4;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x004a0ea16df8e38e9107461dffe34d6a7f9caab1.sol,C:\SmartContracts\smartbugs-wild\contracts\0x004a0ea16df8e38e9107461dffe34d6a7f9caab1.sol,pragma solidity ^0.4.24;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
