filename,filepath,pragma,resolved_solc_version,analysis_status,detector_count,detectors,SWCs,CWEs,execution_time_seconds
0x0000000053d411becdb4a82d8603edc6d8b8b3bc.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0000000053d411becdb4a82d8603edc6d8b8b3bc.sol,pragma solidity ^0.5.0;,0.5.8,SUCCESS,36,arbitrary-send-erc20;arbitrary-send-eth;assembly;divide-before-multiply;external-function;incorrect-equality;low-level-calls;missing-zero-check;naming-convention;reentrancy-balance;reentrancy-events;reentrancy-unlimited-gas;solc-version;too-many-digits;unused-return,SWC-107;UNKNOWN,CWE-841;UNKNOWN,3.180
0x00000000bbcf7700a1b403c9eb666f350707b900.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00000000bbcf7700a1b403c9eb666f350707b900.sol,pragma solidity ^0.4.23;,0.4.26,SUCCESS,18,assembly;constant-function-asm;locked-ether;naming-convention;shadowing-local;solc-version;unindexed-event-address,UNKNOWN,UNKNOWN,2.276
0x00000000e82eb0431756271f0d00cfb143685e7b.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00000000e82eb0431756271f0d00cfb143685e7b.sol,pragma solidity 0.5.6;,0.5.6,SUCCESS,11,assembly;low-level-calls;reentrancy-events;solc-version;unindexed-event-address,SWC-107;UNKNOWN,CWE-841;UNKNOWN,2.821
0x00000000e86b5156e8fd624255bf7a6d722a8f1f.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00000000e86b5156e8fd624255bf7a6d722a8f1f.sol,pragma solidity ^0.4.24;,0.4.26,SUCCESS,10,assembly;constable-states;constant-function-asm;reentrancy-events;solc-version;too-many-digits,SWC-107;UNKNOWN,CWE-841;UNKNOWN,2.337
0x00000007b0390fc9ca72f534366f5c02d5af5334.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00000007b0390fc9ca72f534366f5c02d5af5334.sol,pragma solidity 0.4.25;,0.4.25,SUCCESS,13,constable-states;external-function;missing-zero-check;naming-convention;reentrancy-unlimited-gas;solc-version;timestamp;too-many-digits,SWC-107;UNKNOWN,CWE-841;UNKNOWN,4.972
0x000000085824f23a070c2474442ed014c0e46b58.sol,C:\SmartContracts\smartbugs-wild\contracts\0x000000085824f23a070c2474442ed014c0e46b58.sol,pragma solidity 0.5.8;,0.5.8,SUCCESS,13,constable-states;external-function;naming-convention;shadowing-local;solc-version;timestamp;uninitialized-local,UNKNOWN,UNKNOWN,2.684
0x0000000a9e27410f13dd4818488bf1e706c9a2fe.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0000000a9e27410f13dd4818488bf1e706c9a2fe.sol,pragma solidity 0.4.25;,0.4.25,SUCCESS,13,constable-states;external-function;missing-zero-check;naming-convention;reentrancy-unlimited-gas;solc-version;timestamp;too-many-digits,SWC-107;UNKNOWN,CWE-841;UNKNOWN,2.716
0x0000000fdf9eb269b38e39e058f45d7d0ddb60f9.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0000000fdf9eb269b38e39e058f45d7d0ddb60f9.sol,pragma solidity ^0.5.6;,0.5.8,SUCCESS,2,solc-version,UNKNOWN,UNKNOWN,2.404
0x000000931cf36c464623bb0eefb6b0c205338d67.sol,C:\SmartContracts\smartbugs-wild\contracts\0x000000931cf36c464623bb0eefb6b0c205338d67.sol,pragma solidity ^0.4.18;,0.4.26,SUCCESS,116,arbitrary-send-erc20;events-access;events-maths;external-function;missing-zero-check;naming-convention;redundant-statements;reentrancy-benign;reentrancy-events;shadowing-local;solc-version;too-many-digits;unindexed-event-address,SWC-107;UNKNOWN,CWE-841;UNKNOWN,4.441
0x000000961d1ac83a67d0ce61612b36f18c10c9b7.sol,C:\SmartContracts\smartbugs-wild\contracts\0x000000961d1ac83a67d0ce61612b36f18c10c9b7.sol,pragma solidity ^0.4.24;,0.4.26,SUCCESS,9,assembly;constable-states;constant-function-asm;reentrancy-events;solc-version,SWC-107;UNKNOWN,CWE-841;UNKNOWN,2.446
0x000000c96e715a5b8cd3beaea66bdb749225fa2f.sol,C:\SmartContracts\smartbugs-wild\contracts\0x000000c96e715a5b8cd3beaea66bdb749225fa2f.sol,pragma solidity ^0.4.18;,0.4.26,SUCCESS,116,arbitrary-send-erc20;events-access;events-maths;external-function;missing-zero-check;naming-convention;redundant-statements;reentrancy-benign;reentrancy-events;shadowing-local;solc-version;too-many-digits;unindexed-event-address,SWC-107;UNKNOWN,CWE-841;UNKNOWN,4.183
0x000000d4e883e304c7f9574ebeecf238eb55a40f.sol,C:\SmartContracts\smartbugs-wild\contracts\0x000000d4e883e304c7f9574ebeecf238eb55a40f.sol,pragma solidity ^0.4.24;,0.4.26,SUCCESS,10,assembly;constable-states;constant-function-asm;reentrancy-events;solc-version,SWC-107;UNKNOWN,CWE-841;UNKNOWN,2.486
0x000000eade0fe9269d0412a6055b6f3c5d968488.sol,C:\SmartContracts\smartbugs-wild\contracts\0x000000eade0fe9269d0412a6055b6f3c5d968488.sol,pragma solidity ^0.4.23;,0.4.26,SUCCESS,3,naming-convention;solc-version,UNKNOWN,UNKNOWN,2.521
0x00000100f2a2bd000715001920eb70d229700085.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00000100f2a2bd000715001920eb70d229700085.sol,pragma solidity ^0.4.23;,0.4.26,SUCCESS,18,assembly;constant-function-asm;locked-ether;naming-convention;shadowing-local;solc-version;unindexed-event-address,UNKNOWN,UNKNOWN,2.524
0x0000010d23ccfee520c3fb5a5ba9679cb9d83cbe.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0000010d23ccfee520c3fb5a5ba9679cb9d83cbe.sol,pragma solidity ^0.4.24;,0.4.26,SUCCESS,49,constable-states;events-access;external-function;function-init-state;missing-zero-check;naming-convention;reentrancy-benign;reentrancy-events;reentrancy-no-eth;reentrancy-unlimited-gas;solc-version;too-many-digits;unchecked-transfer;unindexed-event-address,SWC-107;UNKNOWN,CWE-841;UNKNOWN,3.005
0x000003ed2eb44cded8ade31c01dda60da466b2d1.sol,C:\SmartContracts\smartbugs-wild\contracts\0x000003ed2eb44cded8ade31c01dda60da466b2d1.sol,"pragma solidity ""0.4.20"";",0.4.20,SUCCESS,56,calls-loop;constable-states;events-access;naming-convention;shadowing-abstract;solc-version;unused-return,UNKNOWN,UNKNOWN,4.914
0x00000b233566fcc3825f94d68d4fc410f8cb2300.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00000b233566fcc3825f94d68d4fc410f8cb2300.sol,pragma solidity ^0.4.21;,0.4.26,SUCCESS,11,external-function;missing-zero-check;naming-convention;solc-version;timestamp,UNKNOWN,UNKNOWN,2.416
0x0000610024bae4de00eb00ee7ee8321e4cc900b9.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0000610024bae4de00eb00ee7ee8321e4cc900b9.sol,pragma solidity ^0.4.23;,0.4.26,SUCCESS,17,assembly;constant-function-asm;locked-ether;naming-convention;shadowing-local;solc-version;unindexed-event-address,UNKNOWN,UNKNOWN,2.479
0x00006100f7090010005f1bd7ae6122c3c2cf0090.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00006100f7090010005f1bd7ae6122c3c2cf0090.sol,pragma solidity ^0.4.23;,0.4.26,SUCCESS,18,assembly;constant-function-asm;locked-ether;naming-convention;shadowing-local;solc-version;unindexed-event-address,UNKNOWN,UNKNOWN,2.325
0x0000852600ceb001e08e00bc008be620d60031f2.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0000852600ceb001e08e00bc008be620d60031f2.sol,pragma solidity ^0.4.23;,0.4.26,SUCCESS,18,assembly;constant-function-asm;locked-ether;naming-convention;shadowing-local;solc-version;unindexed-event-address,UNKNOWN,UNKNOWN,2.329
0x00016fab0fa144ca8c1f7ec4cf72e70e52359005.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00016fab0fa144ca8c1f7ec4cf72e70e52359005.sol,pragma solidity ^0.5.0;,0.5.8,SUCCESS,9,external-function;locked-ether;missing-zero-check;naming-convention;solc-version;too-many-digits,UNKNOWN,UNKNOWN,2.163
0x0002562b9c0a85ebb92989fc02d6486b3d0ccbeb.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0002562b9c0a85ebb92989fc02d6486b3d0ccbeb.sol,pragma solidity ^0.4.11;,0.4.26,SUCCESS,37,constable-states;deprecated-standards;erc20-interface;events-access;naming-convention;shadowing-builtin;solc-version;too-many-digits,UNKNOWN,UNKNOWN,2.405
0x00035ee9a525989c8d566828f20fd1179627602f.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00035ee9a525989c8d566828f20fd1179627602f.sol,pragma solidity ^0.4.18;,0.4.26,SUCCESS,39,boolean-equal;missing-zero-check;naming-convention;solc-version;unchecked-transfer,UNKNOWN,UNKNOWN,2.582
0x00059ae69c1622a7542edc15e8d17b060fe307b6.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00059ae69c1622a7542edc15e8d17b060fe307b6.sol,pragma solidity ^0.4.23;,0.4.26,SUCCESS,45,external-function;naming-convention;solc-version;too-many-digits,UNKNOWN,UNKNOWN,3.057
0x000621424c60951cb69e9d75d64b79813846d498.sol,C:\SmartContracts\smartbugs-wild\contracts\0x000621424c60951cb69e9d75d64b79813846d498.sol,pragma solidity ^0.4.13;,0.4.26,SUCCESS,18,constable-states;events-access;naming-convention;solc-version;unchecked-transfer,UNKNOWN,UNKNOWN,2.537
0x000983ba1a675327f0940b56c2d49cd9c042dfbf.sol,C:\SmartContracts\smartbugs-wild\contracts\0x000983ba1a675327f0940b56c2d49cd9c042dfbf.sol,pragma solidity 0.4.24;,0.4.24,SUCCESS,69,assembly;cache-array-length;calls-loop;constable-states;constant-function-asm;controlled-array-length;costly-loop;dead-code;events-access;events-maths;external-function;incorrect-equality;locked-ether;missing-zero-check;naming-convention;reentrancy-events;reentrancy-no-eth;reentrancy-unlimited-gas;shadowing-local;solc-version;tautology;too-many-digits;unimplemented-functions;uninitialized-state;unused-return;unused-state;weak-prng,SWC-107;UNKNOWN,CWE-841;UNKNOWN,8.049
0x000adad69101420129a64715a1a52b7348c5e633.sol,C:\SmartContracts\smartbugs-wild\contracts\0x000adad69101420129a64715a1a52b7348c5e633.sol,pragma solidity ^0.5.0;,0.5.8,SUCCESS,16,arbitrary-send-erc20;constable-states;naming-convention;reentrancy-events;solc-version;too-many-digits;unchecked-transfer;unindexed-event-address,SWC-107;UNKNOWN,CWE-841;UNKNOWN,3.691
0x000c100050e98c91f9114fa5dd75ce6869bf4f53.sol,C:\SmartContracts\smartbugs-wild\contracts\0x000c100050e98c91f9114fa5dd75ce6869bf4f53.sol,pragma solidity ^0.5.6;,0.5.8,SUCCESS,21,calls-loop;controlled-array-length;divide-before-multiply;events-maths;reentrancy-events;reentrancy-unlimited-gas;shadowing-local;solc-version;unchecked-transfer;unindexed-event-address;void-cst,SWC-107;UNKNOWN,CWE-841;UNKNOWN,4.834
0x00125893df6ca0792c99601c462764ba5d80268a.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00125893df6ca0792c99601c462764ba5d80268a.sol,pragma solidity ^0.4.24;,0.4.26,SUCCESS,5,calls-loop;external-function;naming-convention;solc-version,UNKNOWN,UNKNOWN,3.531
0x0013d3b508a23feeeca45c4c62cc88966fb71aed.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0013d3b508a23feeeca45c4c62cc88966fb71aed.sol,pragma solidity ^0.4.23;,0.4.26,SUCCESS,74,assembly;calls-loop;constant-function-asm;costly-loop;dead-code;naming-convention;reentrancy-events;reentrancy-no-eth;solc-version;timestamp;too-many-digits;unchecked-transfer;unused-return,SWC-107;UNKNOWN,CWE-841;UNKNOWN,5.911
0x001575786dfa7b9d9d1324ec308785738f80a951.sol,C:\SmartContracts\smartbugs-wild\contracts\0x001575786dfa7b9d9d1324ec308785738f80a951.sol,pragma solidity ^0.4.16;,0.4.26,SUCCESS,19,dead-code;naming-convention;pragma;solc-version,UNKNOWN,UNKNOWN,4.027
0x00195777bed7025e78819156281192c85fb3cf9b.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00195777bed7025e78819156281192c85fb3cf9b.sol,pragma solidity ^0.4.20;,0.4.26,SUCCESS,336,arbitrary-send-eth;assembly;boolean-equal;constant-function-asm;dead-code;external-function;naming-convention;redundant-statements;reentrancy-benign;reentrancy-eth;reentrancy-events;reentrancy-no-eth;reentrancy-unlimited-gas;solc-version;too-many-digits;unindexed-event-address;uninitialized-local;unused-return;unused-state,SWC-107;UNKNOWN,CWE-841;UNKNOWN,10.954
0x001ea8150f4965195e10e5b5568047e1555a6dcd.sol,C:\SmartContracts\smartbugs-wild\contracts\0x001ea8150f4965195e10e5b5568047e1555a6dcd.sol,pragma solidity ^0.4.11;,0.4.26,SUCCESS,16,naming-convention;shadowing-local;solc-version;too-many-digits,UNKNOWN,UNKNOWN,3.585
0x001f0aa5da15585e5b2305dbab2bac425ea71007.sol,C:\SmartContracts\smartbugs-wild\contracts\0x001f0aa5da15585e5b2305dbab2bac425ea71007.sol,pragma solidity ^0.4.19;,0.4.26,SUCCESS,29,constable-states;naming-convention;solc-version;too-many-digits;uninitialized-state,UNKNOWN,UNKNOWN,5.906
0x001f52daa8a4f7b9b26da16baf449c0d270dbe63.sol,C:\SmartContracts\smartbugs-wild\contracts\0x001f52daa8a4f7b9b26da16baf449c0d270dbe63.sol,pragma solidity ^0.4.20;,0.4.26,SUCCESS,48,boolean-equal;divide-before-multiply;external-function;missing-zero-check;naming-convention;reentrancy-unlimited-gas;solc-version;too-many-digits,SWC-107;UNKNOWN,CWE-841;UNKNOWN,5.620
0x002036ed3d00736787a31a19b1e28f7a86c72672.sol,C:\SmartContracts\smartbugs-wild\contracts\0x002036ed3d00736787a31a19b1e28f7a86c72672.sol,pragma solidity ^0.4.16;,0.4.26,SUCCESS,20,constable-states;erc20-interface;external-function;naming-convention;solc-version;too-many-digits,UNKNOWN,UNKNOWN,3.825
0x00214120d3469a74ca586bc9557c0ff8fb09b157.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00214120d3469a74ca586bc9557c0ff8fb09b157.sol,pragma solidity ^0.4.18;,0.4.26,SUCCESS,31,constable-states;costly-loop;events-access;naming-convention;shadowing-abstract;solc-version;too-many-digits,UNKNOWN,UNKNOWN,3.909
0x00223f71b749b8754963c41cba62cb61ef106e9c.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00223f71b749b8754963c41cba62cb61ef106e9c.sol,pragma solidity ^0.4.0;,0.4.26,SUCCESS,2,solc-version,UNKNOWN,UNKNOWN,3.761
0x00224d9084fd7cdb4a5ce7740cb1ca0dca6be7a6.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00224d9084fd7cdb4a5ce7740cb1ca0dca6be7a6.sol,pragma solidity ^0.4.23;,0.4.26,SUCCESS,6,assembly;constable-states;missing-zero-check;solc-version;unused-return,UNKNOWN,UNKNOWN,4.115
0x0022ee765799c1f836a36612b8c62be098fd0bbb.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0022ee765799c1f836a36612b8c62be098fd0bbb.sol,pragma solidity ^0.4.21;,0.4.26,SUCCESS,9,constable-states;naming-convention;solc-version;too-many-digits,UNKNOWN,UNKNOWN,4.195
0x0027449bf0887ca3e431d263ffdefb244d95b555.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0027449bf0887ca3e431d263ffdefb244d95b555.sol,pragma solidity ^0.4.18;,0.4.26,SUCCESS,9,naming-convention;solc-version,UNKNOWN,UNKNOWN,3.443
0x002842529757eab873cce9c251087e1b993f9200.sol,C:\SmartContracts\smartbugs-wild\contracts\0x002842529757eab873cce9c251087e1b993f9200.sol,pragma solidity ^0.4.18;,0.4.26,SUCCESS,8,arbitrary-send-erc20;naming-convention;reentrancy-events;solc-version;timestamp;too-many-digits,SWC-107;UNKNOWN,CWE-841;UNKNOWN,3.557
0x00285f9aad90013a782fb6c85584d97f120b54d8.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00285f9aad90013a782fb6c85584d97f120b54d8.sol,pragma solidity ^0.4.16;,0.4.26,SUCCESS,24,constable-states;dead-code;events-access;external-function;missing-zero-check;naming-convention;solc-version;too-many-digits;unindexed-event-address,UNKNOWN,UNKNOWN,4.028
0x002c74b0cd9354ba5464db519cae76d7cfaa070a.sol,C:\SmartContracts\smartbugs-wild\contracts\0x002c74b0cd9354ba5464db519cae76d7cfaa070a.sol,pragma solidity ^0.4.13;,0.4.26,SUCCESS,18,constable-states;events-access;naming-convention;solc-version,UNKNOWN,UNKNOWN,3.736
0x002f06abe6995fd0ea4be011c53bfc989fa53ce0.sol,C:\SmartContracts\smartbugs-wild\contracts\0x002f06abe6995fd0ea4be011c53bfc989fa53ce0.sol,pragma solidity 0.4.17;,0.4.17,SUCCESS,30,boolean-equal;constable-states;naming-convention;solc-version;timestamp;too-many-digits,UNKNOWN,UNKNOWN,7.291
0x00312b3d7f39f63b15d5b2078f2862249b09338d.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00312b3d7f39f63b15d5b2078f2862249b09338d.sol,pragma solidity ^0.4.11;,0.4.26,SUCCESS,27,naming-convention;solc-version,UNKNOWN,UNKNOWN,4.175
0x0033fb5561719b8b697b604466d6d39308c58191.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0033fb5561719b8b697b604466d6d39308c58191.sol,pragma solidity ^0.4.16;,0.4.26,SUCCESS,32,arbitrary-send-eth;constable-states;dead-code;erc20-interface;events-access;external-function;missing-zero-check;naming-convention;solc-version;suicidal;too-many-digits;unchecked-send;unindexed-event-address,SWC-106;UNKNOWN,CWE-284;UNKNOWN,3.996
0x00346fddca107aec034a367b7324f0d6419bf4b9.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00346fddca107aec034a367b7324f0d6419bf4b9.sol,pragma solidity ^0.4.16;,0.4.26,SUCCESS,14,constable-states;erc20-interface;incorrect-modifier;missing-zero-check;naming-convention;reentrancy-events;reentrancy-unlimited-gas;solc-version;too-many-digits;unindexed-event-address;uninitialized-state,SWC-107;UNKNOWN,CWE-841;UNKNOWN,3.503
0x0035743c08768ad6558b49d751e0215762057754.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0035743c08768ad6558b49d751e0215762057754.sol,pragma solidity ^0.4.18;,0.4.26,SUCCESS,16,constable-states;naming-convention;reentrancy-benign;reentrancy-events;reentrancy-no-eth;solc-version;timestamp;unchecked-transfer;unindexed-event-address,SWC-107;UNKNOWN,CWE-841;UNKNOWN,4.159
0x00359e48665c081ecba0519cacff26c7ca889296.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00359e48665c081ecba0519cacff26c7ca889296.sol,pragma solidity ^0.4.13;,0.4.26,SUCCESS,20,constable-states;naming-convention;solc-version;too-many-digits,UNKNOWN,UNKNOWN,4.380
0x0036192587fd788b75829fbf79be7f06e4f23b21.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0036192587fd788b75829fbf79be7f06e4f23b21.sol,pragma solidity 0.5.2;,0.5.2,SUCCESS,18,assembly;incorrect-modifier;low-level-calls;missing-zero-check;shadowing-local;solc-version;unindexed-event-address,UNKNOWN,UNKNOWN,5.187
0x00391d08b3e68e476a774ada379258264eb74485.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00391d08b3e68e476a774ada379258264eb74485.sol,pragma solidity 0.4.24;,0.4.24,SUCCESS,83,boolean-equal;dead-code;events-maths;external-function;missing-inheritance;naming-convention;reentrancy-benign;reentrancy-events;reentrancy-no-eth;solc-version;timestamp;unchecked-transfer;unindexed-event-address;uninitialized-local;unused-return,SWC-107;UNKNOWN,CWE-841;UNKNOWN,4.981
0x003ad9c18bc279f40632e7e5de2fd213931215d0.sol,C:\SmartContracts\smartbugs-wild\contracts\0x003ad9c18bc279f40632e7e5de2fd213931215d0.sol,pragma solidity ^0.4.24;,0.4.26,SUCCESS,204,assembly;boolean-equal;cache-array-length;calls-loop;constable-states;constant-function-asm;controlled-array-length;dead-code;divide-before-multiply;events-access;external-function;incorrect-equality;missing-zero-check;naming-convention;reentrancy-benign;reentrancy-eth;reentrancy-events;reentrancy-no-eth;reentrancy-unlimited-gas;shadowing-local;solc-version;too-many-digits;unchecked-transfer,SWC-107;UNKNOWN,CWE-841;UNKNOWN,8.937
0x003f79d7be15dc1ad90ce00e6ea68f335e2b789b.sol,C:\SmartContracts\smartbugs-wild\contracts\0x003f79d7be15dc1ad90ce00e6ea68f335e2b789b.sol,pragma solidity ^0.4.13;,0.4.26,SUCCESS,19,constable-states;external-function;naming-convention;shadowing-local;solc-version;too-many-digits,UNKNOWN,UNKNOWN,3.737
0x003ffefefbc4a6f34a62a3ca7b7937a880065bcb.sol,C:\SmartContracts\smartbugs-wild\contracts\0x003ffefefbc4a6f34a62a3ca7b7937a880065bcb.sol,pragma solidity ^0.4.16;,0.4.26,SUCCESS,55,boolean-equal;cache-array-length;calls-loop;constable-states;controlled-array-length;costly-loop;events-access;external-function;missing-zero-check;naming-convention;reentrancy-events;reentrancy-unlimited-gas;solc-version;unindexed-event-address,SWC-107;UNKNOWN,CWE-841;UNKNOWN,4.142
0x00409ccacd67ab9e476b7f386eb67bf40ccbbcba.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00409ccacd67ab9e476b7f386eb67bf40ccbbcba.sol,pragma solidity 0.4.24;,0.4.24,SUCCESS,9,divide-before-multiply;naming-convention;reentrancy-unlimited-gas;solc-version;tautology;timestamp;unindexed-event-address,SWC-107;UNKNOWN,CWE-841;UNKNOWN,3.628
0x00416b9d728069edb0ceb04bc2b203fa7336d1f1.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00416b9d728069edb0ceb04bc2b203fa7336d1f1.sol,pragma solidity ^0.4.13;,0.4.26,SUCCESS,35,calls-loop;costly-loop;missing-zero-check;naming-convention;reentrancy-benign;reentrancy-events;reentrancy-no-eth;reentrancy-unlimited-gas;solc-version;timestamp;unchecked-transfer;unindexed-event-address,SWC-107;UNKNOWN,CWE-841;UNKNOWN,4.102
0x0042d589023cfd5a979388f5be6e4abf532ab9af.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0042d589023cfd5a979388f5be6e4abf532ab9af.sol,pragma solidity ^0.4.0;,0.4.26,SUCCESS,19,dead-code;deprecated-standards;naming-convention;shadowing-builtin;solc-version;too-many-digits,UNKNOWN,UNKNOWN,3.686
0x00430f32b8e77a456d0ab7e6f1dc1b84f4ae62e0.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00430f32b8e77a456d0ab7e6f1dc1b84f4ae62e0.sol,pragma solidity ^0.4.16;,0.4.26,SUCCESS,22,erc20-interface;events-access;external-function;missing-zero-check;naming-convention;solc-version,UNKNOWN,UNKNOWN,4.050
